zone,hour,day_of_week,weather,road_condition,incident_count,risk_score,high_risk
3,0,0,0,0,2,1.4,0
4,2,3,2,2,7,5.0,0
0,2,2,3,0,2,1.4,0
2,13,6,2,2,11,7.9,1
3,19,4,2,0,7,5.0,0
1,21,4,3,0,1,0.7,0
1,4,3,0,2,4,2.9,0
1,16,0,2,0,5,3.6,0
3,14,4,0,1,4,2.9,0
1,5,3,3,2,2,1.4,0
4,13,5,0,0,1,0.7,0
3,13,1,0,2,8,5.7,0
3,16,4,1,0,1,0.7,0
3,7,1,1,1,0,0.0,0
5,7,0,2,0,5,3.6,0
2,18,4,1,0,0,0.0,0
5,8,3,1,1,4,2.9,0
5,10,2,1,2,6,4.3,0
5,12,4,0,0,3,2.1,0
2,12,4,0,0,1,0.7,0
5,23,4,1,1,6,4.3,0
1,18,4,3,2,3,2.1,0
3,20,3,1,2,5,3.6,0
3,18,3,3,1,4,2.9,0
4,4,2,0,1,4,2.9,0
0,15,3,3,0,3,2.1,0
1,8,3,0,1,4,2.9,0
2,19,0,3,1,4,2.9,0
0,21,6,0,1,3,2.1,0
3,2,0,0,2,7,5.0,0
5,18,6,1,1,1,0.7,0
4,4,1,2,0,6,4.3,0
4,7,2,2,0,7,5.0,0
3,13,6,0,0,0,0.0,0
1,23,0,1,1,3,2.1,0
0,2,2,2,2,14,10.0,1
4,23,2,2,1,6,4.3,0
3,12,4,1,1,0,0.0,0
1,10,5,1,0,1,0.7,0
3,7,5,2,1,5,3.6,0
3,18,5,2,2,8,5.7,0
1,9,2,3,0,0,0.0,0
1,17,4,3,2,4,2.9,0
1,17,1,0,2,8,5.7,0
3,6,1,2,2,8,5.7,0
4,15,5,1,1,3,2.1,0
2,5,1,1,1,1,0.7,0
2,15,4,2,1,6,4.3,0
3,15,5,0,1,2,1.4,0
3,22,6,1,0,4,2.9,0
4,23,6,2,1,9,6.4,1
1,0,4,2,0,8,5.7,0
3,23,1,0,2,6,4.3,0
5,18,5,2,0,10,7.1,1
1,2,6,1,1,4,2.9,0
3,5,4,3,0,1,0.7,0
5,3,3,0,1,3,2.1,0
0,3,6,2,1,5,3.6,0
4,3,3,0,0,7,5.0,0
5,9,4,2,0,7,5.0,0
3,8,4,3,2,3,2.1,0
2,7,0,0,2,8,5.7,0
3,18,6,2,2,9,6.4,1
2,16,0,3,2,1,0.7,0
4,16,2,1,2,2,1.4,0
4,0,6,2,0,12,8.6,1
1,19,5,3,2,4,2.9,0
1,13,2,3,0,2,1.4,0
2,21,2,0,2,4,2.9,0
2,19,1,2,1,5,3.6,0
4,10,3,1,2,3,2.1,0
5,2,1,2,1,8,5.7,0
2,23,5,3,0,4,2.9,0
2,7,4,1,2,4,2.9,0
5,21,0,3,0,4,2.9,0
1,9,5,0,2,6,4.3,0
1,16,4,2,0,4,2.9,0
2,7,5,3,2,3,2.1,0
1,21,4,3,2,7,5.0,0
1,0,6,2,1,9,6.4,1
0,19,0,1,0,1,0.7,0
1,20,4,3,0,4,2.9,0
4,6,2,2,0,6,4.3,0
3,23,5,0,0,5,3.6,0
2,8,0,0,0,4,2.9,0
2,11,4,2,1,9,6.4,1
4,21,2,3,2,4,2.9,0
3,8,2,2,1,5,3.6,0
3,19,6,2,0,5,3.6,0
4,23,3,3,0,7,5.0,0
5,2,2,1,2,6,4.3,0
5,3,1,1,1,4,2.9,0
3,9,0,0,2,5,3.6,0
5,3,0,1,2,5,3.6,0
5,21,0,2,1,4,2.9,0
5,8,4,3,2,5,3.6,0
3,21,5,0,1,4,2.9,0
5,0,4,1,1,6,4.3,0
2,4,1,2,0,3,2.1,0
0,8,5,0,2,2,1.4,0
3,4,6,3,0,3,2.1,0
4,5,2,1,2,7,5.0,0
5,18,4,2,2,11,7.9,1
1,7,5,3,0,4,2.9,0
3,9,2,2,0,7,5.0,0
4,10,5,2,0,6,4.3,0
0,12,2,2,1,9,6.4,1
2,19,5,3,2,5,3.6,0
4,3,4,0,1,5,3.6,0
5,10,4,2,2,9,6.4,1
1,11,1,0,2,2,1.4,0
5,4,6,0,1,1,0.7,0
4,9,6,1,1,0,0.0,0
3,23,3,1,2,4,2.9,0
1,6,0,0,0,0,0.0,0
1,20,4,1,0,0,0.0,0
4,8,4,1,0,1,0.7,0
0,8,2,0,0,4,2.9,0
0,9,3,3,2,5,3.6,0
5,9,6,1,0,4,2.9,0
4,1,4,1,0,2,1.4,0
1,3,5,3,0,3,2.1,0
4,7,6,3,2,3,2.1,0
1,13,3,3,1,1,0.7,0
5,16,0,0,0,1,0.7,0
3,12,5,3,2,3,2.1,0
3,20,2,0,2,4,2.9,0
4,23,1,2,0,5,3.6,0
1,17,5,2,1,5,3.6,0
3,17,6,3,1,4,2.9,0
1,12,0,3,1,3,2.1,0
5,7,5,2,2,9,6.4,1
4,11,3,0,0,1,0.7,0
1,22,3,0,0,4,2.9,0
4,23,0,3,2,8,5.7,0
1,20,6,3,0,1,0.7,0
0,0,3,3,0,3,2.1,0
0,19,5,2,1,4,2.9,0
1,17,1,1,0,3,2.1,0
5,2,5,3,0,5,3.6,0
4,11,1,0,2,6,4.3,0
2,18,3,1,2,3,2.1,0
1,12,5,0,1,0,0.0,0
1,9,3,1,2,3,2.1,0
0,14,6,2,1,3,2.1,0
3,19,1,1,1,1,0.7,0
0,1,6,0,0,1,0.7,0
4,18,3,1,1,1,0.7,0
0,2,4,2,0,10,7.1,1
2,13,2,0,1,3,2.1,0
5,6,5,3,2,6,4.3,0
2,7,4,1,2,5,3.6,0
5,10,6,0,2,2,1.4,0
2,21,3,1,1,1,0.7,0
0,19,3,2,1,5,3.6,0
2,5,2,0,0,0,0.0,0
0,10,3,3,0,1,0.7,0
0,16,2,3,0,0,0.0,0
4,9,5,1,0,3,2.1,0
0,23,1,2,1,10,7.1,1
3,16,2,2,1,4,2.9,0
2,20,2,1,0,3,2.1,0
1,1,4,0,1,7,5.0,0
1,5,3,0,1,1,0.7,0
1,4,5,1,1,3,2.1,0
3,3,1,0,1,6,4.3,0
0,1,0,0,0,3,2.1,0
2,11,6,0,0,0,0.0,0
5,2,2,1,1,6,4.3,0
5,5,0,3,2,5,3.6,0
4,23,3,2,0,7,5.0,0
3,13,6,3,0,0,0.0,0
2,7,2,0,2,6,4.3,0
0,20,0,1,0,2,1.4,0
1,20,4,2,2,6,4.3,0
3,13,0,0,2,8,5.7,0
3,2,6,2,1,10,7.1,1
2,15,4,2,0,3,2.1,0
0,14,6,3,2,4,2.9,0
4,6,1,0,1,4,2.9,0
0,14,3,2,0,6,4.3,0
4,12,5,3,1,3,2.1,0
4,5,0,1,1,4,2.9,0
1,14,2,2,2,10,7.1,1
1,16,6,0,0,2,1.4,0
2,3,6,1,1,6,4.3,0
0,21,3,2,2,5,3.6,0
4,21,0,2,2,8,5.7,0
2,13,2,0,1,1,0.7,0
4,14,2,2,1,6,4.3,0
3,11,6,0,2,3,2.1,0
