junction,hour,day_of_week,weather,temperature_c,vehicles,congestion_score,high_congestion
2,15,4,0,42.0,262,9.0,1
3,0,0,0,19.7,20,0.9,0
1,3,0,1,19.5,57,1.1,0
0,9,1,1,34.6,710,17.7,1
0,14,6,1,36.4,317,8.1,1
3,16,2,1,42.0,207,6.6,1
0,20,6,0,28.1,298,6.9,1
0,10,1,0,37.5,681,16.9,1
2,12,5,0,37.0,329,11.0,1
7,18,5,0,36.3,426,14.4,1
0,0,5,2,21.6,39,0.9,0
1,7,3,0,27.7,67,1.5,0
1,21,2,0,27.7,246,5.8,0
2,21,3,0,28.9,280,9.0,1
0,0,5,0,20.7,22,0.2,0
4,14,3,0,41.8,176,6.1,1
4,19,0,1,34.3,459,15.1,1
5,9,0,0,32.6,422,13.8,1
5,8,5,1,29.4,523,17.7,1
5,21,0,0,24.9,290,9.8,1
6,15,6,0,42.0,242,8.2,1
1,21,5,0,26.3,299,7.6,1
3,18,3,0,34.7,504,16.5,1
5,18,5,0,36.2,482,16.2,1
0,0,2,1,22.6,69,1.6,0
1,18,4,2,37.1,506,13.3,1
0,20,4,0,30.9,262,6.3,1
4,16,2,0,35.0,207,7.0,1
2,2,6,2,19.5,30,0.7,0
5,8,0,0,29.5,517,17.3,1
0,6,5,0,23.3,22,0.9,0
2,20,5,0,29.4,289,9.9,1
3,14,3,0,41.9,250,8.4,1
5,14,3,3,38.2,149,5.2,0
5,13,2,1,38.7,298,9.5,1
2,10,1,1,35.6,507,16.9,1
7,14,0,0,42.0,235,7.2,1
6,19,0,0,34.4,548,18.0,1
3,8,6,2,30.7,326,10.9,1
4,3,1,0,18.0,32,1.2,0
2,21,2,0,29.0,298,10.0,1
1,11,2,0,38.9,305,7.5,1
1,22,1,3,27.1,198,4.3,0
2,0,5,0,20.8,46,1.2,0
3,6,5,0,25.2,42,1.6,0
6,5,3,1,20.2,20,0.8,0
4,21,5,0,28.9,182,6.2,1
0,23,5,2,22.9,39,0.9,0
1,1,2,1,23.3,32,0.4,0
0,2,3,2,18.0,55,1.7,0
7,20,2,0,27.9,262,9.1,1
7,10,1,0,37.9,441,14.8,1
0,3,4,1,20.2,62,1.9,0
0,19,2,2,30.1,576,14.0,1
6,4,2,0,21.9,39,1.3,0
5,13,2,2,40.7,184,6.5,1
7,22,2,0,27.9,322,10.7,1
5,9,5,0,35.6,367,12.7,1
3,21,5,0,28.2,198,6.6,1
1,15,0,1,42.0,292,7.4,1
5,2,3,0,18.0,68,2.2,0
5,1,3,0,18.0,41,1.4,0
3,7,4,0,27.3,104,3.2,0
7,13,5,0,42.0,232,7.7,1
2,20,6,0,30.6,215,7.2,1
6,20,5,0,28.4,189,5.7,0
0,9,5,0,36.0,577,14.5,1
1,1,2,0,18.0,34,0.8,0
4,19,2,3,34.2,423,13.7,1
7,9,6,0,30.4,385,12.5,1
1,21,3,0,28.7,287,7.1,1
1,22,2,0,23.3,228,5.8,0
7,13,2,0,41.8,312,10.4,1
6,9,0,1,31.4,511,16.6,1
0,15,1,1,42.0,272,6.9,1
6,22,6,0,24.0,285,9.4,1
0,11,3,1,36.9,244,6.2,1
7,22,6,0,23.0,250,8.4,1
0,16,4,0,40.6,287,7.7,1
5,3,3,0,21.4,57,1.5,0
7,20,5,2,24.9,161,5.3,0
7,5,6,0,20.8,29,0.7,0
2,11,0,1,34.8,269,9.2,1
6,8,6,0,29.3,402,13.6,1
4,12,6,1,40.1,263,8.6,1
3,0,0,0,19.5,64,1.9,0
6,13,2,0,41.5,245,8.4,1
4,15,6,0,42.0,237,7.5,1
1,13,5,0,42.0,314,8.1,1
7,18,3,1,39.1,599,19.9,1
3,0,0,0,19.0,30,1.1,0
1,15,0,0,42.0,243,6.0,1
7,11,0,1,42.0,257,8.8,1
1,20,4,1,29.6,324,8.3,1
7,18,5,0,34.8,435,14.0,1
4,18,1,1,35.8,441,14.8,1
2,23,5,0,24.3,41,1.9,0
1,16,2,0,42.0,364,9.0,1
3,22,3,3,21.8,148,4.5,0
0,9,1,3,33.8,489,12.2,1
3,5,3,0,23.1,43,1.1,0
6,13,4,0,38.3,227,7.6,1
3,7,1,0,25.6,76,2.4,0
7,16,6,0,39.6,209,7.1,1
6,17,3,1,36.4,508,16.6,1
1,2,1,1,18.5,52,1.4,0
3,5,4,0,23.1,44,1.0,0
4,23,0,0,20.7,42,1.4,0
3,17,4,1,42.0,525,17.7,1
1,9,0,2,32.7,396,9.8,1
1,12,4,0,42.0,289,7.4,1
5,10,3,0,36.6,611,20.5,1
7,21,3,3,23.1,147,4.6,0
0,11,0,0,39.6,306,7.2,1
1,21,1,1,26.7,266,7.0,1
5,14,0,0,39.0,169,4.8,0
5,13,6,0,42.0,254,8.6,1
6,20,2,0,28.9,240,8.1,1
1,14,4,0,42.0,200,4.6,0
0,13,5,0,39.7,260,6.4,1
2,14,3,1,39.6,195,6.7,1
1,15,3,1,38.5,293,7.7,1
2,3,4,0,18.0,66,2.3,0
5,3,2,0,18.6,50,1.2,0
2,21,6,1,27.3,265,9.0,1
2,9,5,0,31.6,406,14.1,1
2,12,6,1,42.0,225,7.5,1
6,5,1,1,26.2,39,0.5,0
5,15,2,0,42.0,228,7.8,1
6,3,0,1,21.0,54,1.4,0
5,0,3,0,18.0,28,1.6,0
3,11,6,0,34.9,224,7.3,1
1,18,4,0,36.9,653,15.8,1
3,1,4,0,21.2,49,1.6,0
6,8,0,1,27.7,458,15.4,1
4,20,5,3,29.3,135,4.3,0
3,9,1,0,33.3,553,18.3,1
1,15,5,1,39.4,296,7.2,1
3,12,3,3,36.9,163,5.5,0
6,7,6,0,24.1,61,2.1,0
4,10,0,0,33.7,425,13.9,1
1,15,3,0,42.0,231,5.7,0
7,13,1,1,42.0,224,7.6,1
6,3,6,0,18.9,56,1.5,0
2,22,3,0,22.3,152,5.4,0
7,15,1,0,41.4,249,8.2,1
4,10,5,3,33.4,249,7.9,1
6,18,2,1,36.6,447,15.0,1
7,3,1,0,19.4,41,1.2,0
1,3,4,3,18.3,18,0.3,0
3,18,1,1,37.8,638,21.8,1
2,20,1,0,34.2,233,7.5,1
7,15,5,0,38.3,258,8.4,1
4,3,6,0,18.0,21,0.5,0
1,23,3,0,23.3,22,0.7,0
1,16,5,1,41.9,292,7.8,1
5,9,3,2,35.4,305,9.8,1
4,21,4,1,25.2,307,10.6,1
1,11,0,0,36.3,238,6.5,1
5,1,6,1,20.9,39,1.2,0
4,6,4,0,24.4,53,1.5,0
7,11,5,0,36.5,286,9.8,1
4,3,0,0,19.2,22,1.1,0
6,12,2,0,39.9,309,10.5,1
6,13,5,1,41.4,242,7.1,1
2,19,6,1,32.4,426,14.3,1
2,16,3,0,40.4,181,5.9,0
2,19,2,2,35.8,374,12.5,1
1,12,4,0,39.7,306,7.6,1
6,10,6,3,38.8,247,7.5,1
2,19,5,0,32.6,380,12.1,1
1,19,5,0,31.1,701,18.0,1
4,11,3,0,40.0,249,8.1,1
2,12,2,0,42.0,257,8.3,1
2,7,3,0,23.3,72,2.5,0
2,12,3,1,42.0,191,6.5,1
6,22,5,0,24.8,269,8.9,1
2,5,5,0,19.6,59,2.1,0
7,19,5,2,31.7,326,11.2,1
4,13,4,0,39.5,207,7.3,1
7,16,6,0,41.8,260,8.6,1
6,17,3,0,40.6,544,18.0,1
3,13,5,0,39.6,274,9.1,1
4,12,6,0,42.0,230,8.1,1
6,9,6,1,38.0,350,11.5,1
0,0,3,0,20.6,73,1.6,0
1,3,0,0,18.0,43,1.0,0
2,3,1,0,20.2,47,2.1,0
3,15,2,0,42.0,184,5.7,0
7,13,1,0,38.7,225,7.5,1
1,11,3,1,37.1,250,6.5,1
6,22,1,0,24.9,324,10.0,1
5,9,0,0,34.2,524,17.9,1
5,20,3,1,28.7,145,4.7,0
3,6,4,0,23.6,63,2.0,0
5,4,1,0,20.3,48,2.0,0
7,21,1,1,29.4,270,9.2,1
6,15,6,0,38.9,186,6.4,1
1,12,5,0,42.0,333,8.5,1
1,6,1,0,21.6,29,0.7,0
3,14,2,0,42.0,214,6.4,1
7,7,6,0,26.4,116,3.9,0
4,7,6,0,25.9,120,3.9,0
6,6,5,1,24.1,20,0.9,0
1,10,5,0,37.4,675,16.9,1
1,13,5,0,42.0,258,6.5,1
4,10,5,0,34.1,519,17.5,1
7,14,0,0,42.0,232,7.9,1
7,6,5,0,21.5,74,2.6,0
4,17,6,2,38.1,350,11.6,1
2,6,4,1,28.6,74,2.4,0
5,22,5,0,22.8,247,8.5,1
0,18,3,1,34.4,865,21.8,1
7,5,4,1,20.2,67,2.3,0
2,12,5,0,41.4,258,9.1,1
4,8,0,0,32.1,467,15.3,1
5,12,2,0,41.9,242,7.7,1
4,11,1,0,37.4,185,6.4,1
7,19,2,0,34.3,470,16.2,1
1,7,4,0,26.1,141,3.3,0
